question,cat
How many USB ports does the Zyxel have?,devices
How much does the Speedport LTE cost?,devices
When can I extend a contract for the Speedport 724v?,devices
How much does the Speedport Hybrid cost in the service package?,devices
Which Alcatel products are currently being marketed,devices
Which receivers cost a maximum of 29 € for rent,devices
What kind of SIM card does the iPhone 5s have and how much does it emit?,devices
How much does the Speedport Hybrid cost in the service package?,devices
How many slots does the Speedport W 921V Fiber have,devices
How much is a replacement charging cable for Huawei smartphones?,devices
How much does the speedport smart cost in the service package?,devices
Which mobile phone has more than 2 inches of display diagonal?,devices
how much does a headset cost for the blackberry,devices
which sonys are there in pink?,devices
Show me all promotions from 2016,devices
Are there any mobile phones that support WLAN calls and LTE or VoLTE?,devices
When is the Google Pixel available again,devices
Show me all processors on mobile phones,devices
Which devices cost no more than 69 euros for the deployment?,devices
Show all ip enabled routers,devices
Which SIM card comes in the Galaxy S7?,devices
What is the purchase price of the MR 400?,devices
Which SIM must be in Blackberry classic,devices
What alternatives are there from the Speedport W 724V?,devices
What is the resolution of the front camera on the Huawei E5577c?,devices
Show sales-active Speedport with a DECT base,devices
Which HTC models cost less than 400 €?,devices
How long is the runtime for the media receiver 400?,devices
how many MHz does the frequency of the LTE have from the Galaxy,devices
In what colors is the Kodak Ektra available?,devices
Smartphone with Android 5,devices
Which iPhone models are available in black,devices
are there any other sim formats other than nano and micro?,devices
Which devices have DualSIM?,devices
Are there still phones with SIM card format Classic SIM?,devices
How long is the notice period for the MR 400?,devices
Which devices support HDvoice,devices
Does the Speedport W724V operate IP-based connections?,devices
do huaweigeräte have a camera with optical zoom?,devices
What do I pay for a router including service package,devices
What is the SAR value for a Galaxy S7 Edge?,devices
How big is the memory of the Samsung Galaxy S7?,devices
Which devices have IP68 certification?,devices
Which ioS version is on the latest iPhones on it,devices
Can I use the speedportW724V with IP?,devices
Which smartphones are outdoor-compatible and use the Android operating system?,devices
what is the deployment price for the media receiver 300,devices
Does the Lenovo C2 have a fast-charge function?,devices
which mobile phones support LTE,devices
Which iPhone or Galaxy devices are available in gold or with a touch screen?,devices
Show me the cheapest smartphone that has at least a camera of 8 megapixels and goes outdoors,devices
what does it cost if I want to buy the speedport hybrid,devices
What do you pay for the router service package,devices
what is the deployment price at a speed haven?,devices
When will the new smartphone come out in coral?,devices
What is the rental price of the Speeport 921,devices
supports the pixel of Google HD Voice?,devices
Which iPhone models are available in gold,devices
Speedport W724V on the IP-based connection?,devices
Can I replace the battery of the Samsung Galaxy A5 selbstständing,devices
Which speedports are currently in the portfolio,devices
is there an ipad with amoled display?,devices
How much does the Speedport smart cost?,devices
What do you pay for the rental of digital receivers,devices
has the nova or the edge 3D Touch?,devices
Speedport W 724v ip capable,devices
Which smartphones are outdoor suitable and the operating system Android?,devices
Why is the Apple iPhone 7 Plus 128 GB in gold late in delivery?,devices
Which charging cable is used for Apple?,devices
Show me all phones with NFC chip and lte,devices
What is the purchase price of media receivers,devices
What is the simcard format at Novas?,devices
Show me hardware that is suitable for LTE,devices
Which devices are suitable for video streaming?,devices
which samsung have a fingerprint sensor,devices
show me anthracite colored htc,devices
does the Samsung A3 HDVoice have?,devices
In which colors is the iPhone 7,devices
Does the Samsung Galaxy A3 have an expandable memory,devices
What do I pay for a desire,devices
Which cases are there for Samsung devices?,devices
Show me all 64GB Memory Outdoor Smartphones in Gold by Apple.,devices
Which devices have at least 4 GB of RAM and are not from Samsung?,devices
Does the Xperia have a front camera or a main camera?,devices
is there a huawei in white?,devices
is there a black device with LTE?,devices
How much is the rent of a receiver?,devices
Is the HTC WLAN Call capable?,devices
Show me the cheapest smartphone that has at least a camera of 8 megapixels,devices
Which Samsung devices have an edge display?,devices
What is the purchase price of the Fire Phone or Galaxy A3,devices
how expensive is the galaxy,devices
What do you pay for wireless router,devices
Which smartphones have a SIMlock?,devices
Are there any routers that support LTE?,devices
What is the purchase price of the Speedport Hybrid?,devices
there are blue ones; green or golden cell phones?,devices
Which speedports are currently in the portfolio?,devices
there is the desire in light blue or orange,devices
Which smartphones have a 13 megapixel camera?,devices
On which routers can I set up a dynamic DNS server?,devices
Which camera has at least 4x zoom and 1280px,devices
what does the galaxy tab A cost?,devices
Show me all outdoor smartphones,devices
Show me sony ericsons in yellow,devices
Which Samsung smartphone has at least a memory of 32 GB,devices
does the mate have a replaceable battery?,devices
screen,devices
Can you tell me how heavy the phone actually is?,devices
What weighs a Samsung phone with 1gb of RAM,devices
Which receivers cost a maximum of 29 € for the provision?,devices
Which devices work with Wlan Call?,devices
Is the Huawei P10 Plus waterproof?,devices
supports the Samsung A3 HD Voice?,devices
Does the Lumia have NFC?,devices
Which Google mobile phones have touchID,devices
Which devices do not have a fingerprint scanner?,devices
What does the Digibox Premium cost?,devices
How big is the iphone,devices
Show me Xperias with li-ion battery,devices
Show me all Mates or Motos with NFC chip,devices
What is the rental price for the MR 301?,devices
Which devices have a fingerprint scanner?,devices
is the pixel synonymous with qwerty keyboard?,devices
Are the nylon wristbands of the Apple Watch washable?,devices
Does the Apple Watch series 1 have a wireless charging function?,devices
Can I operate the Apple Watch without a SIM card?,devices
Do I have to insert a card in an Apple Watch?,devices
Can I run the Applewatch GPS-only?,devices
Can I read messages with the Watch Series 1 WhatsApp?,devices
Is the bracelet of Apple Watch 3 waterproof?,devices
Are Apple&#39;s smartwatches suitable for water activities?,devices
Is the strap of the Samsung Gear waterproof?,devices
Can I swim with the Apple Watsch?,devices
Which bracelet colors are there for Applewatch?,devices
Is the bracelet from Apple Watch available with a clasp and lugs in rose gold?,devices
Are bracelets available for the Apple Watch Series 3 with a gold clasp?,devices
How long is the charging cable for Apple Watch Series 1?,devices
How big is the edition of the Apple Watch?,devices
What is the bracelet width of the Apple Watch Series 3?,devices
How many mm is the bracelet width of the Apple Watch 1?,devices
Is the Sport Loop Bracelet with the Apple Watch included in the purchase price?,devices
Is the 38 Sport Loop wristband as wide as the 42?,devices
Can I make facetim calls on the Wi-Fi network using the Apple Watch (GPS only)?,devices
Is the Sport Loop Wristband suitable for swimming?,devices
Can I use the Apple Watch as a sleep-phase alarm clock?,devices
Is the bracelet suitable for taking a shower or even swimming?,devices
Show me smart watches from Apple in white,devices
In which colors is the Apple Watch series 3,devices
What data transfer rate does the Smart Watch 3 have?,devices
Does the Apple Watch support NFC?,devices
Which type of display has the smart watch from Apple&#39;s series 3?,devices
Which SIM (format) can be used in the Smart Watch Apple 1?,devices
Is the Apple Watch xx waterproof?,devices
Is Apple&#39;s smartwatch suitable for outdoor use?,devices
How big is the data storage of the Apple Watch 3?,devices
Does the smartwatch from Apple support UMTS?,devices
In which colors are the Apple watches available?,devices
What is the display size of the Apple Watch 3?,devices
How big is the Smart Watch Apple 3,devices
What is the resolution of the Apple Watch 3 display?,devices
Does the apple watch have a brightness sensor?,devices
How much time does the battery of the Apple Watch 3,devices
Which type of battery has the applewatch 3,devices
Is wireless loading of the Apple Watch possible?,devices
What contactless transmission options has the Apple Watch 3,devices
Does the Apple Watch have a GPS receiver?,devices
Does the Apple Watch have a hands-free feature?,devices
Does the Apple Smartwatch support voice commands?,devices
Which languages are supported by the Apple Watch?,devices
What navigation features does the Apple 3 Smart Watch have?,devices
Is a microphone integrated in the Apple Watch?,devices
Show me Apple Watch 3 LTE Alu 38 mm,devices
Which operating system is installed on the Samsung Gear S?,devices
What is the weight of the Samsung Gear S?,devices
Show me the dimensions of Samsung Gear S in mm,devices
How big is the datastore of Samsung Gear S?,devices
Is there a wireless charging station for the Samsung Gear?,devices
Show me all the speedports that are fiber compatible.,devices
How much does the MR 401 cost monthly and how many USB ports are available?,devices
Doro 5030,devices
Wiko WIM Lite,devices
which android devices are splash-proof,devices
which ios devices are splash-proof,devices
S7 2018,devices
black or blue galaxies,devices
green iphones,devices
Samsung in blue with at least 10 MP camera,devices
gray hat,devices
A3 (2017),devices
Cisco Router 892W-AGN-E-K9,devices
How many voip phones can be connected via a device?,devices
LG G7 ThinQ,devices
show with the Cisco SPA-2102 and the manufacturer,devices
What are the prices or tariffs of the Apple iPhone X 256 GB silver?,devices
How does call signaling work from the Sinus A 207?,devices
What are shortcut keys on the Sinus A 207?,devices
Is Sinus A 207 hearing aid compatible?,devices
How does call signaling work from the Sinus A 806?,devices
Does Sinus A 806 display date and time?,devices
What are shortcut keys on the Sinus A 806?,devices
Is Sinus 806a hearing aid compatible?,devices
Does Concept pa 415 display the date and time?,devices
What does dial preparation of the Concept PA 415 include?,devices
What does call waiting from the Concept PA 415 include?,devices
What does the plug-in power supply from the Concept PA 415 include?,devices
What is the redial of the Concept PA 415?,devices
What does announcement of the Concept PA 415 include?,devices
What does announcement text from the Concept PA 415 include?,devices
How many entries includes call list has Concept PA 415,devices
What is the illuminated message button on the Concept PA 415?,devices
How many entries includes caller list has Concept PA 415,devices
What does hands-free talking from the Concept PA 415 include?,devices
What is one-touch dial buttons on the Concept PA 415?,devices
How does call signaling work from the Concept PA 415?,devices
What is the R button on the Concept PA 415?,devices
Hat Concept PA 415 Anrufweiterschaltung?,devices
Does Concept PA have 415 buttons for Deutsche Telekom services?,devices
Does Concept PA 415 take over?,devices
What are speed dial keys on the Concept P 214?,devices
What are speed dial buttons on the Concept P 214?,devices
Show me all club phone with display for date and time.,devices
Show me all comfort with display for date and time.,devices
Show me all Comfort with the support of Deutsche Telekomit,devices
Show me all concept with buttons for services of Deutsche Telekomit,devices
Show me all Concept with conversation.,devices
Show me all concept with date and time display.,devices
Show me all Concept with the support of the services of Deutsche Telekomit,devices
Show me all Easy with automatic adjustment of the transmission power.,devices
Show me all Easy with the support of the services of Deutsche Telekomit,devices
Show me all sinus with earphone connections of about 1.0.,devices
Show me all sinus with USB of about 1.0.,devices
Show me all sinus with buttons for services of Deutsche Telekomit,devices
Show me all sines with date and time display.,devices
Show me all sinus with the support of the services of Deutsche Telekom,devices
Show me all sinuses with talk time of a maximum of 8 hours.,devices
List all IP phones with CLIP.,devices
With which VoIP software can I send SMS?,devices
Which IP phones have a built-in switch?,devices
Which IP phones can I mount to the wall?,devices
Which IP phones support the services of Telekom?,devices
Which ISDN system telephones have a Sindertonruf?,devices
Which ISDN system telephones have programmable keys?,devices
Which cordless phone has illuminated buttons?,devices
Show me all IP phones with illuminated buttons,devices
the Gigaset SL910,devices
Weight of the Gigaset SL400A,devices
Does Gigaset SL910 caller list?,devices
What is the material number of the Gigaset SL 910?,devices
How long does stand by time from the Gigaset SL910 last?,devices
How big is the handset of the giggaset SL910?,devices
concept 214  P,devices
I am looking for a Sinus A 206 Comfort,devices
How much is the phone 2001 Porsche?,devices
Show me sinus phones,devices
Which manufacturer is the Handy T-Plus 2?,devices
Does the Europa 20I have a hands-free function?,devices
How many messages can I store in the phonebook of the Concept PA 623i?,devices
How long is the battery life of the Easy C 11?,devices
Which T-Concept phone has a 2-color screen?,devices
I&#39;m looking for a T-Easy phone,devices
I need an Actron phone,devices
Can I connect the IQ-Tel 2 to the printer?,devices
Which functions does the Siemens Profiset 70 have?,devices
How much does the sapphire phone weigh?,devices
Are there Vitaphone phones under 50?,devices
What is the purchase price of the club phone 5 isdn?,devices
Is there the Vitaphone 1 in black?,devices
What color is the Vitaphon 11?,devices
How many pixels does the screen of Vitaphon 12 have?,devices
Does Vitaphon 2 have an AB?,devices
What kind of battery does the Trion 2 have?,devices
Does the Telly AB phone have a screen light?,devices
Has Trion 1 integrated an alphanumeric keyboard?,devices
What color does the Tarsis C have?,devices
What is the product number of Tarsis B?,devices
How many calls are saved in the caller list of the 2001 telephone Porsche?,devices
Show me the Tel 01 LX,devices
In which versions is the Vocaro available?,devices
How heavy is the handset of the Xitel?,devices
Hat das Xenio Lauthören?,devices
How long is the talk time at Telly AB?,devices
How much is the Tavio net?,devices
I am looking for a Sinus A 406 white with a SMS function of sending and receiving SMS (memory for 40 SMS) SMS linking of up to 612 characters (4 SMS).,devices
I&#39;m looking for a sine 43 ISDN base station,devices
Telekom Speedbox LTE 4 white,devices
TomTom digitization package,devices
How much does a digitization package M by Tom Tom cost,devices
I am looking for an alarm service data device,devices
I&#39;m looking for the Telekom Speedstick basic 2 black - Xtra Data,devices
CAT S60 black,devices
Huawai p20 pro violet,devices
galaxy S9 in blue as new,devices
How to order a Media Receiver 400 without a new tariff,processes
"Good day. My name is Müller, and I have a mobile phone contract with you number 55885588. We are moving from Münster to Beckum soon and I would like to ask you to note the valid from 01.02.2018 new address in the contract documents. The new address is: Steinstraße 7, 44145 Beckum. Thank you!",processes
Is there any privacy advice?,processes
What are the costs of talks from China?,processes
How can I postpone an appointment?,processes
router is broken,processes
What is the cost of taking my phone number to another provider?,processes
When was the marketing period for the action &quot;Old versus New&quot;?,processes
What do I have to pay attention to when conducting the interview,processes
Legitimation via passport?,processes
manual business transaction,processes
How do I finish a booking account?,processes
How do I react if the customer requests a refund?,processes
What do I have to consider if I want to terminate a tariff prematurely?,processes
Which return reasons are there,processes
"Hello, I have a question about my landline connection. Namely, I move in the near future and would like to know whether at the new address already have a connection or whether I have to apply for a new connection. Thank you and best regards!",processes
Where can I check if a bank code was given correctly?,processes
Where can I find instructions for resetting a speedport?,processes
Where does the customer get a return slip from?,processes
Who books KRG?,processes
What are our service promises,processes
Can I lock the option SpeedOn?,processes
How do I activate the HotSpot-Flat?,processes
can you make a wlan hotspot at home?,processes
Who processes employee rates?,processes
What to do with cell phone failure?,processes
Exchange Speedport,processes
How can I get my bill online access data?,processes
Special termination in case of death,processes
How do I book Spotify?,processes
Which APN settings do I need?,processes
Broken Speedport,processes
How do I lock third-party?,processes
When can I extend my mobile contract prematurely?,processes
How to order a FamilyCard,processes
How much does a contract take?,processes
How do I turn Easy Support on or off?,processes
Who books cancellations recovery offers?,processes
how to book blackberry solution,processes
How do I connect a Speedphone with a Speedport?,processes
How much is the Puk information?,processes
What are the dunning fees?,processes
How can I argue about the company philosophy,processes
When does the right of withdrawal begin with the purchase of a Speedport by distance?,processes
which requirements have to be met when the account change is requested,processes
When is the customer entitled to withdraw?,processes
activation sim card,processes
How is a provider change booked together with a move?,processes
How do I get the access data for the Magenta Cloud?,processes
How can I describe my contract to my mother,processes
How do I activate my new SIM card?,processes
How do I set up a call bar?,processes
How to register in the customer center,processes
How can I change the invoice medium in Carmen?,processes
Booking DayPass M LG2,processes
"I would like to specify a new address for my mobile phone tariff, but I only have the number of the CombiCard at hand. Is that still possible?",processes
How does Video Ident work?,processes
Can I change my address in the mobile phone contract if I only have the number of the CombiCard?,processes
Show me the tariff change matrix,processes
Where can I see the delivery status of my device?,processes
involvement in rv,processes
How can I activate the call waiting function?,processes
When can I renew a contract without a terminal?,processes
Where do I notice a cancellation,processes
How do I update the channel list of the Media Reciever 400?,processes
How is a new address transferred to the system?,processes
Which categories of benefits are available for credits?,processes
When can I downgrade my tariff?,processes
How do I order a digitizer box?,processes
How can I withdraw the Xtra balance?,processes
Is the replacement of a speed port within the warranty period free?,processes
How much does it cost to change from MagentaMobil L to MagentaMobil M?,processes
How can I cancel a rental device?,processes
Exists an overview of radio coverage abroad,processes
"Dear Sir or Madam, As I am moving soon, I have some questions regarding my current contract. Above all, I would first have to know if my new address requires a new telephone connection. What should I pay attention to?",processes
Return of defective equipment,processes
"Is there after my move, in my new apartment, where appropriate, the possibility to use other telephone companies in addition to her?",processes
How do I record a return,processes
How can I get my landline bills?,processes
what is a courtesy credit,processes
How does the customer receive his access data to the hotspot?,processes
When can I switch from my private client contract to a master agreement?,processes
How do I get new access data for my internet access?,processes
Number porting landline,processes
To which group of countries do the Seychelles belong?,processes
Change of bank account,processes
Are costs incurred if a debit is not carried out?,processes
How to make a credit,processes
How do I exchange a rental router?,processes
How can I book a FamilyCard?,processes
What data do I need for a company that wants to import a mobile phone number?,processes
where can I find a list of the individual discussions?,processes
Where can I find the service shipping tool,processes
"Hello, I&#39;m moving soon and therefore have a question regarding my landline connection: Does the new address already have a connection or can I take my landline also with me, although still no connection is available? Thank you and best regards.",processes
What should be considered in case of special termination?,processes
What access data do I need for VIVO?,processes
How long will the documents be stored at RechnungOnline Business?,processes
How do I switch off caller ID for outgoing calls?,processes
In which cases the legal right of withdrawal applies,processes
Where can I find the return slip?,processes
Which categories of third party providers can I specifically block?,processes
How much does a call diversion to my landline?,processes
What should be considered when booking GK contracts?,processes
Where can I find the state of my data volume?,processes
How do I get the access data for my HotSpot-Flat?,processes
How do I receive a return slip?,processes
Sim card activation in self service,processes
When can you advance your contract at the earliest? And how much is it?,processes
Where can I find the interview guidelines?,processes
What data do I need for a number porting?,processes
When can I apply for a resignation?,processes
What are the conditions for an installment plan?,processes
What is Wlan Call?,processes
What is the difference between Twin-Bill and Twin-Bill Pro?,processes
What is a defect within the warranty,processes
How can I unlock my BSP account?,processes
How does a resignation work?,processes
How can I get a refund?,processes
Is the phone number transfer from post to prepaid possible?,processes
how do I book more data volume,processes
Show me the Public Procurement Directives,processes
How do I book the DEL on my mobile phone contract?,processes
How can I check my DSL speed?,processes
How do I reset a router w724 ??,processes
"Is there my new address, ways to use a different landline than her?",processes
When am I entitled to a resignation?,processes
Where can I see the order status in the customer center,processes
Where can I find the IBAN converter?,processes
How do I use the 4-eyes principle?,processes
How do I deposit my Payback data?,processes
Which customer-first principles are there?,processes
Show me all the necessary order forms,processes
How do I book a cell phone protection letter for the customer,processes
How can I switch from computer help M to S?,processes
From what date does the right of withdrawal apply?,processes
When will an invoice be requested?,processes
How do I disable my mobile box?,processes
Which steps have to be taken into account in a number porting?,processes
What to do if customer reclaims a defective device,processes
Which devices are taken back to goodwill?,processes
How do I turn on Wlan to go?,processes
How much does a premature contract renewal cost?,processes
Change phone book entry,processes
Can the existing connections in my new apartment be used for my landline connection?,processes
Neufaktura,processes
How can I turn on Wlan Call?,processes
"Dear Ladies and Gentlemen, I&#39;m moving in March. Will my contract be kept, or will I have to pay extra there? My landline is important to me and that must work immediately. If that does not work, I would like to terminate the contract right away. Best regards",processes
We will move to another state this year and would like to use our fixed line connection in addition to business. What do we have to do for this? Are application forms available on your website?,processes
How do I set up a call diversion on the mobile phone?,processes
How do I configure a Speedport 921v?,processes
How do I book a rate change for old rates?,processes
How can I book Neufaktura?,processes
How do I set up the voicebox?,processes
"Ladies and Gentlemen, I&#39;m moving in a few weeks in a new apartment and would like to know whether in the new apartment already has a new landline connection must be available?",processes
What benefits in kind are won out of goodwill,processes
Which legal form contracting party,processes
How do I book the ice hockey option,processes
Terminate terminals,processes
I would like to change the address for my mobile phone contract and hope that it will be enough if I only have the number of my CombiCard for this purpose.,processes
How do I book Magenta ONE?,processes
Show me the IP sales help,processes
What are the steps to move a domain?,processes
How do I change my bank details?,processes
Return terminal,processes
How is the sim card activated by MagentaMobil customers?,processes
Who processes mobile check orders?,processes
How do I contact the Private Customer Mobile Hotline?,processes
To which address do I return a rental device?,processes
How do I cancel music streaming?,processes
Where can I find the guidebook for the privacy policy?,processes
What should be considered when moving within the building,processes
What is Buy &amp; Pick up?,processes
How are the hotspot access data from my landline?,processes
framework agreement alternately,processes
Show me all world options,processes
What happens to a prepaid credit when changing into a term contract?,processes
How much is a multi SIM?,processes
What is Wlan to go,processes
Does Wlan Call also work for free devices?,processes
how do I book a day pass,processes
how do I connect the router?,processes
What to do if the router flashes red?,processes
Which radio communication standard does the Bitron video smoke detector have?,smarthome
Can Zigbee devices be combined with SP S using a wireless stick?,smarthome
Show with wireless smart home sirens,smarthome
What are the dimensions of the eQ-3 water detector?,smarthome
What is the volume of the alarm from the eQ-3 smoke detector?,smarthome
What kind of power plug does the Smart Home siren have?,smarthome
Which home control standard has a SmartHome siren,smarthome
What dimensions does the Smart Home siren have without a plug in mm?,smarthome
What is the weight of the Smart Home siren (without battery),smarthome
Is the Smart Home Siren CE compliant?,smarthome
Show me available window sensors,smarthome
How is the power supply at SmartHome door / window contact optical,smarthome
How long is the battery life of the Magenta SmartHome door / window contact optically,smarthome
How big is the Magenta SmartHome door / window contact optically,smarthome
Which wireless standard has Magenta SmartHome door / window contact visually,smarthome
In which colors is the Magenta SmartHome door / window contact optically available?,smarthome
How is the Magenta SmartHome door / window contact optically powered?,smarthome
Which accessories are visually supplied with Magenta SmartHome door / window contact,smarthome
Does the Magenta SmartHome door / window contact optically have a reflector sticker?,smarthome
Are batteries magnetically included in the SmartHome door / window contact?,smarthome
Are batteries magnetically necessary for SmartHome door / window contact?,smarthome
Which battery type does the SmartHome door / window contact have magnetically?,smarthome
What is included magnetically in the scope of delivery of the SmartHome door / window contact?,smarthome
Is it also possible to switch off an active alarm with the Smart Home wall switch?,smarthome
How many active wall switches can I integrate into the smart home system?,smarthome
How many buttons does the Bitron Video wall button have?,smarthome
Are DECT ULE devices supported by Home Base 2.0?,smarthome
Are DECT Ule devices supported by the Telekom Speedport Smart?,smarthome
Which batteries does the Magenta SmartHome wall scanner have?,smarthome
How many parts does Magenta SmartHome have?,smarthome
Which devices are compatible with the 2nd generation Home Base?,smarthome
Which devices are compatible with the Speedport Smart Router?,smarthome
Is the Magenta SmartHome wall-mounted battery powered?,smarthome
What functions does Magenta SmartHome wall scanner have?,smarthome
Show me technical data for Magenta SmartHome wall scanner,smarthome
Which wireless standard does Magenta SmartHome wall switches use?,smarthome
Which adapter plugs are suitable for outdoor use?,smarthome
How much does an eQ-3 adapter plug weigh in?,smarthome
What is the operating voltage of the SmartHome adapter plug on the outside?,smarthome
Which home base do I need for the SmartHome adapter plug on the outside?,smarthome
Which router is compatible with the SmartHome adapter plug on the outside?,smarthome
Which HB is compatible with the Bitron Video Smoke Detector?,smarthome
Show me Bitron Video Smoke Detector,smarthome
Which routers support the Bitron Video Smoke Detector (V.2),smarthome
Which ZIGBEE devices are compatible with Home Base 1?,smarthome
Is Bitron Video Smoke Detector (V.2) compatible with second generation home base,smarthome
What dimensions does Bitron Video have?,smarthome
What is the sound level of Bitron Video Smoke Detector (V.2)?,smarthome
What kind of plug does the Bitron Video smoke detector have?,smarthome
Which house control standard has the Bitron Video Smoke Detector,smarthome
What are the dimensions of the Bitron Video wall button with plug in mm,smarthome
What is the standby consumption of the Bitron video adapter inside,smarthome
What is the (radio) range of zigbee,smarthome
How many devices does the ZigBee cube support?,smarthome
Is the Bitron Video Wall Switch battery-powered?,smarthome
What features does Bitron Video Wall Switches have?,smarthome
Show me technical data for Bitron Video Wall Switches,smarthome
Which wireless standard uses Bitron Video wall buttons,smarthome
What operating temperature does the Bitron Video Motion Detector have inside,smarthome
How long is the battery life of Bitron Video Indoor Motion Detector (V.2),smarthome
How many buttons has Bitron video remote control,smarthome
How much does a Bitron video adapter weigh in,smarthome
Is the case splash-proof from the inside of the Bitron video adapter?,smarthome
Which radio standard has the Bitron Video wall thermostat for underfloor heating,smarthome
How much does the Bitron Video door / window contact cost magnetically,smarthome
Which home bases and routers are HomeMatic IP devices compatible with?,smarthome
How many units does the eQ-3 adapter have inside IP?,smarthome
Is the eQ-3 adapter inside IP switchable with remote control?,smarthome
Which eQ3 door-window contact devices are currently available?,smarthome
Which radio protocols uses eQ3 door-window contact optically,smarthome
How many channels does the eQ-3 wall scanner have?,smarthome
In which colors is there the eQ-3 wall scanner IP,smarthome
